Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
59465,35.386038,-101.578572,-99999,-99999,79.6,79.6
59464,35.3919,-101.53,-99999,-99999,79.5,79.5
59462,35.0775,-118.218333,-99999,-99999,79.2,79.2
59463,42.674722,-112.901944,-99999,-99999,79.2,79.2
59458,37.790833,-121.718055,-99999,-99999,78.2,78.2
59459,38.116667,-121.821944,-99999,-99999,78.2,78.2
59460,35.243611,-102.21,-99999,-99999,78.2,78.2
59456,30.9514,-102.414067,-99999,-99999,78,78
59457,27.18,-98.916667,-99999,-99999,78,78
59455,35.2608,-118.2469,-99999,-99999,76.9,76.9
59450,31.1392,-102.2253,-99999,-99999,75,75
59451,45.571,-120.593,-99999,-99999,75,75
59452,37.6735,-102.8622,-99999,-99999,75,75
59453,43.0003,-92.62,-99999,-99999,75,75
59454,40.319561,-78.680633,-99999,-99999,75,75
59447,43.757778,-83.297778,-99999,-99999,74.8,74.8
59448,40.048889,-96.952222,-99999,-99999,74.8,74.8
59449,43.757778,-83.297778,-99999,-99999,74.8,74.8
59446,34.850781,-98.577311,-99999,-99999,74.3,74.3
59444,43.112222,-74.878888,-99999,-99999,74,74
59445,35.194722,-98.907222,-99999,-99999,74,74
59443,41.987656,-98.210401,-99999,-99999,73.4,73.4
59442,41.323889,-99.323056,-99999,-99999,73.1,73.1
59440,41.2294,-89.5572,-99999,-99999,72,72
59441,45.6533,-119.9914,-99999,-99999,72,72
59438,40.4381,-78.5436,-99999,-99999,70,70
59439,39.4047,-79.29,-99999,-99999,70,70
59435,43.7092,-82.9633,-99999,-99999,69,69
59436,21.610278,-158.040833,-99999,-99999,69,69
59437,41.5323,-77.0296,-99999,-99999,69,69
59433,43.692647,-88.329742,-99999,-99999,67.7,67.7
59432,33.495278,-98.5,-99999,-99999,67.6,67.6
59431,33.9211,-116.5642,-99999,-99999,66.6,66.6
59427,39.1828,-79.5372,-99999,-99999,66,66
59430,43.3192,-93.8836,-99999,-99999,66,66
59426,34.6062,-110.1734,-99999,-99999,65.1,65.1
59425,44.748333,-72.425278,-99999,-99999,65,65
59423,41.5533,-75.4542,-99999,-99999,64.5,64.5
59424,43.4195,-111.8294,-99999,-99999,64.5,64.5
59422,43.850833,-82.783611,-99999,-99999,64,64
59416,32.739294,-100.738949,-99999,-99999,63,63
59417,34.6596,-110.2842,-99999,-99999,63,63
59421,45.943,-118.591,-99999,-99999,63,63
59415,40.964167,-103.077222,-99999,-99999,62.6,62.6
59414,40.3042,-78.6908,-99999,-99999,62.5,62.5
59413,47.1242,-97.8956,-99999,-99999,62.4,62.4
59412,37.886706,-109.36839,-99999,-99999,62.1,62.1
59409,33.925,-116.617778,-99999,-99999,61.5,61.5
59410,46.327169,-98.898356,-99999,-99999,61.5,61.5
59408,33.033056,-101.6875,-99999,-99999,61.2,61.2
59407,41.288056,-110.480741,-99999,-99999,61,61
59394,35.06094,-118.292406,-99999,-99999,60,60
59395,40.983,-102.9647,-99999,-99999,60,60
59396,32.338611,-98.476111,-99999,-99999,60,60
59404,45.34598,-68.3802,-99999,-99999,60,60
59405,40.0011,-95.9289,-99999,-99999,60,60
59393,36.846667,-97.4175,-99999,-99999,59.8,59.8
59392,35.075,-118.3158,-99999,-99999,59.6,59.6
59384,42.4489,-99.8917,-99999,-99999,59.4,59.4
59390,43.8556,-83.1669,-99999,-99999,59.4,59.4
59383,44.19,-85.2983,-99999,-99999,59,59
59382,32.1217,-101.3853,-99999,-99999,58.8,58.8
59381,43.386389,-111.726389,-99999,-99999,57.6,57.6
59379,34.105,-101.0986,-99999,-99999,57,57
59380,45.4822,-67.9944,-99999,-99999,57,57
59378,40.1006,-94.4869,-99999,-99999,56.7,56.7
59377,42.315278,-77.538333,-99999,-99999,55.4,55.4
59376,39.445,-79.03,-99999,-99999,55.2,55.2
59374,43.400278,-88.481111,-99999,-99999,54,54
59373,41.25,-89.5708,-99999,-99999,53,53
59371,43.83,-83.2064,-99999,-99999,52.8,52.8
59370,40.0311,-78.8153,-99999,-99999,52.5,52.5
59365,44.0667,-96.0667,-99999,-99999,51,51
59366,44.0025,-98.590833,-99999,-99999,51,51
59367,39.3383,-102.3533,-99999,-99999,51,51
59364,38.424722,-99.5075,-99999,-99999,50.7,50.7
59362,47.152847,-101.197716,-99999,-99999,50.6,50.6
59363,44.633611,-70.627777,-99999,-99999,50.6,50.6
59338,41.7194,-89.0492,-99999,-99999,50.4,50.4
59339,40.4535,-95.4683,-99999,-99999,50.4,50.4
59357,40.2572,-94.6722,-99999,-99999,50.4,50.4
59358,44.4328,-96.4779,-99999,-99999,50.4,50.4
59359,39.7513,-79.7271,-99999,-99999,50.4,50.4
59360,32.55434,-107.50929,-99999,-99999,50.4,50.4
59361,43.256944,-84.499722,-99999,-99999,50.4,50.4
59320,41.7172,-106.1077,-99999,-99999,50,50
59322,32.705556,-116.3425,-99999,-99999,50,50
59323,44.057778,-95.2525,-99999,-99999,50,50
59324,37.369167,-98.460278,-99999,-99999,50,50
59327,37.3764,-98.4583,-99999,-99999,50,50
59328,43.4303,-95.4167,-99999,-99999,50,50
59329,45.9192,-120.3039,-99999,-99999,50,50
59331,45.744171,-120.783568,-99999,-99999,50,50
59332,42.006111,-94.237778,-99999,-99999,50,50
59334,46.718056,-96.211944,-99999,-99999,50,50
59337,33.901781,-103.34675,-99999,-99999,50,50
59319,45.2766,-120.2794,-99999,-99999,49.8,49.8
59300,33.9228,-116.5422,-99999,-99999,49.5,49.5
59310,47.1167,-100.7333,-99999,-99999,49.5,49.5
59311,44.1238,-96.0784,-99999,-99999,49.5,49.5
59312,47.1333,-100.7011,-99999,-99999,49.5,49.5
59318,35.9454,-101.9005,-99999,-99999,49.5,49.5
59297,33.8816,-116.5527,-99999,-99999,49,49
59295,40.729207,-78.28735,-99999,-99999,48.2,48.2
59281,47.152847,-101.197716,-99999,-99999,48,48
59282,47.1244,-97.8961,-99999,-99999,48,48
59284,43.7681,-71.8189,-99999,-99999,48,48
59279,35.0697,-118.3167,-99999,-99999,46.9,46.9
59275,33.9393,-116.5527,-99999,-99999,45,45
59274,43.920556,-93.140555,-99999,-99999,44,44
59273,43.3897,-95.2997,-99999,-99999,43.5,43.5
59272,33.934,-116.5781,-99999,-99999,43.4,43.4
59271,43.978486,-92.851078,-99999,-99999,43,43
