description,name,Plant_Code,sector_nam,PrimSource,Total_MW,Coal_MW,NG_MW,Crude_MW,Bio_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Geo_MW,Other_MW,source_des,tech_desc,Source,Period,geometry
,geothermal,10479,IPP Non-CHP,geothermal,12,0,0,0,,0,0,0,0,0,12.0,,Geothermal = 12MW,Geothermal,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.9096,37.6455,0.0</coordinates></Point>"
,solar,56929,Electric Utility,solar,25,0,0,0,,0,0,0,25,0,,,Solar = 25 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-81.8019,27.3232,0.0</coordinates></Point>"
,solar,56930,Electric Utility,solar,10,0,0,0,,0,0,0,10,0,,,Solar = 10 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-80.6811,28.4586,0.0</coordinates></Point>"
,wind,56920,IPP Non-CHP,wind,142.5,0,0,0,,0,0,0,0,142.5,,,Wind = 142.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-101.451385,32.100823,0.0</coordinates></Point>"
,wind,56921,IPP Non-CHP,wind,115.5,0,0,0,,0,0,0,0,115.5,,,Wind = 115.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-101.2983,31.9361,0.0</coordinates></Point>"
,solar,56922,IPP Non-CHP,solar,1.3,0,0,0,,0,0,0,1.3,0,,,Solar = 1.3 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-107.81341,39.522904,0.0</coordinates></Point>"
,wind,56923,IPP Non-CHP,wind,150,0,0,0,,0,0,0,0,150,,,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-93.8311,43.2125,0.0</coordinates></Point>"
,wind,56924,IPP Non-CHP,wind,150,0,0,0,,0,0,0,0,150,,,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-93.2722,42.1044,0.0</coordinates></Point>"
,wind,56925,IPP Non-CHP,wind,200,0,0,0,,0,0,0,0,200,,,Wind = 200 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-93.800002,43.273731,0.0</coordinates></Point>"
,wind,10586,IPP Non-CHP,wind,59.6,0,0,0,,0,0,0,0,59.6,,,Wind = 59.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.3158,35.075,0.0</coordinates></Point>"
,wind,10597,IPP Non-CHP,wind,29,0,0,0,,0,0,0,0,29,,,Wind = 29 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.3167,35.0697,0.0</coordinates></Point>"
,geothermal,10632,IPP Non-CHP,geothermal,42,0,0,0,,0,0,0,0,0,42.0,,Geothermal = 42MW,Geothermal,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-115.616,33.1646,0.0</coordinates></Point>"
,geothermal,10631,IPP Non-CHP,geothermal,42,0,0,0,,0,0,0,0,0,42.0,,Geothermal = 42MW,Geothermal,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-115.565,33.1779,0.0</coordinates></Point>"
,geothermal,10634,IPP Non-CHP,geothermal,42,0,0,0,,0,0,0,0,0,42.0,,Geothermal = 42MW,Geothermal,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-115.6033,33.1777,0.0</coordinates></Point>"
,solar,58489,IPP Non-CHP,solar,20,0,0,0,,0,0,0,20,0,,,Solar = 20 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-114.97,36.39,0.0</coordinates></Point>"
,solar,58488,IPP Non-CHP,solar,10,0,0,0,,0,0,0,10,0,,,Solar = 10 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-104.3,29.6,0.0</coordinates></Point>"
,solar,58498,IPP Non-CHP,solar,20,0,0,0,,0,0,0,20,0,,,Solar = 20 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.246944,34.9,0.0</coordinates></Point>"
,solar,58500,IPP Non-CHP,solar,5,0,0,0,,0,0,0,5,0,,,Solar = 5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.167222,35.046667,0.0</coordinates></Point>"
,solar,58499,IPP Non-CHP,solar,20,0,0,0,,0,0,0,20,0,,,Solar = 20 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.238333,34.900278,0.0</coordinates></Point>"
,solar,58491,IPP Non-CHP,solar,1.2,0,0,0,,0,0,0,1.2,0,,,Solar = 1.2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-77.954167,35.868333,0.0</coordinates></Point>"
,solar,58490,IPP Non-CHP,solar,30.2,0,0,0,,0,0,0,30.2,0,,,Solar = 30.2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-114.87,36.23,0.0</coordinates></Point>"
,solar,58493,IPP Non-CHP,solar,4,0,0,0,,0,0,0,4,0,,,Solar = 4 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-78.250833,35.948056,0.0</coordinates></Point>"
,solar,58492,IPP Non-CHP,solar,3.5,0,0,0,,0,0,0,3.5,0,,,Solar = 3.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-80.600556,36.461111,0.0</coordinates></Point>"
